transaction_id,montant_eur,heure,anciennete_client_j,nb_articles,distance_domicile_km
TXS1-00156,23.82,19.47,547,2,10.82
TXS1-00157,75.53,15.71,13,6,9.41
TXS1-00158,22.0,18.02,62,3,8.48
TXS1-00159,119.84,20.03,325,3,13.51
TXS1-00160,37.07,15.16,646,5,2.87
TXS1-00161,150.69,17.61,1056,2,6.44
TXS1-00162,30.8,18.73,722,2,29.5
TXS1-00163,29.98,9.71,41,3,17.47
TXS1-00164,47.36,19.44,282,6,13.62
TXS1-00165,57.51,13.57,28,1,10.27
TXS1-00166,99.17,21.64,344,4,6.46
TXS1-00167,39.77,14.48,1504,2,11.59
TXS1-00168,57.68,15.17,99,2,3.06
TXS1-00169,53.72,11.31,2697,2,7.16
TXS1-00170,18.89,22.09,1521,3,4.7
TXS1-00171,47.96,16.79,619,2,14.1
TXS1-00172,12.69,13.31,1368,5,18.31
TXS1-00173,21.4,12.95,41,1,7.98
TXS1-00174,29.64,19.71,265,3,13.05
TXS1-00175,94.31,12.31,671,5,3.13
TXS1-00176,35.86,10.37,267,3,1.27
TXS1-00177,77.2,23.16,144,4,3.03
TXS1-00178,32.24,10.98,703,3,4.07
TXS1-00179,62.5,14.97,666,5,4.13
TXS1-00180,13.4,9.48,380,4,15.3
TXS1-00181,43.85,17.25,200,4,14.35
TXS1-00182,23.94,15.97,489,2,4.5
TXS1-00183,53.78,20.68,80,4,10.36
TXS1-00184,24.11,14.68,196,2,8.87
TXS1-00185,12.66,19.52,1367,3,3.74
TXS1-00186,15.15,12.74,543,2,8.02
TXS1-00187,57.02,13.41,258,2,2.18
TXS1-00188,24.15,11.15,783,1,7.74
TXS1-00189,41.85,18.75,232,3,2.29
TXS1-00190,9.49,12.3,320,5,15.89
TXS1-00191,44.47,19.73,93,1,62.89
TXS1-00192,34.5,19.39,760,2,1.72
TXS1-00193,15.54,15.16,1151,1,4.58
TXS1-00194,79.34,14.68,55,3,16.65
TXS1-00195,50.14,16.37,161,3,1.32
TXS1-00196,14.86,11.49,720,4,12.82
TXS1-00197,20.91,11.22,85,3,3.94
TXS1-00198,37.02,21.39,886,5,5.55
TXS1-00199,169.52,21.54,478,3,0.67
TXS1-00200,34.69,18.25,310,1,2.16
TXS1-00201,20.04,11.29,178,1,2.19
TXS1-00202,54.84,11.43,352,2,23.76
TXS1-00203,42.89,18.4,104,2,0.52
TXS1-00204,53.67,23.24,1520,6,15.17
TXS1-00205,21.63,11.37,98,3,1.4
TXS1-00206,53.32,18.87,1157,6,5.09
TXS1-00207,5.73,22.98,389,1,8.39
TXS1-00208,44.14,17.83,732,3,17.8
TXS1-00209,15.42,21.08,425,1,3.7
TXS1-00210,13.33,21.12,1300,1,6.38
TXS1-00211,19.59,14.04,36,1,3.79
TXS1-00212,27.76,19.36,665,3,17.41
TXS1-00213,27.07,11.04,294,2,9.16
TXS1-00214,47.33,20.21,348,2,4.53
TXS1-00215,17.7,18.3,815,1,2.86
TXS1-00216,39.51,12.81,78,1,15.4
TXS1-00217,24.1,9.59,155,4,0.51
TXS1-00218,42.27,21.27,1002,2,1.49
TXS1-00219,63.7,18.08,194,3,12.34
TXS1-00220,74.27,23.3,788,3,2.36
TXS1-00221,91.09,10.98,116,4,1.49
TXS1-00222,13.74,19.52,321,1,24.11
TXS1-00223,31.28,12.44,263,2,2.08
TXS1-00224,67.56,11.73,6,3,5.88
TXS1-00225,51.98,16.49,82,4,1.96
TXS1-00226,12.07,18.19,169,4,9.08
TXS1-00227,10.3,11.51,730,4,4.89
TXS1-00228,51.5,20.28,299,1,4.8
TXS1-00229,89.84,15.24,89,4,25.92
TXS1-00230,17.78,14.62,6,3,4.41
TXS1-00231,37.02,14.8,279,2,45.46
TXS1-00232,38.25,17.55,408,1,6.17
TXS1-00233,114.17,17.29,75,3,37.44
TXS1-00234,32.36,21.55,395,1,7.09
TXS1-00235,76.25,13.97,50,1,4.05
TXS1-00236,51.46,14.58,44,3,1.92
TXS1-00237,32.52,16.6,430,3,2.88
TXS1-00238,15.58,11.94,33,1,0.8
TXS1-00239,24.97,11.3,238,1,33.23
TXS1-00240,78.26,14.34,7,3,9.86
TXS1-00241,30.68,8.83,608,1,10.81
TXS1-00242,46.1,14.13,1456,2,9.5
TXS1-00243,15.88,15.73,907,1,4.47
TXS1-00244,8.9,11.35,248,1,3.06
TXS1-00245,16.91,9.83,1030,3,9.76
TXS1-00246,95.55,15.98,2625,3,2.94
TXS1-00247,47.56,14.94,112,6,3.32
TXS1-00248,19.74,17.68,547,2,19.62
TXS1-00249,11.74,14.36,125,2,1.81
TXS1-00250,118.58,17.38,392,3,12.04
TXS1-00251,33.03,10.56,97,2,5.62
TXS1-00252,34.38,22.19,123,4,3.02
TXS1-00253,15.45,16.31,2164,3,13.15
TXS1-00254,78.98,23.42,224,4,2.96
TXS1-00255,31.01,17.73,381,3,5.5
TXS1-00256,24.02,18.24,593,3,3.12
TXS1-00257,10.95,15.57,875,2,1.83
TXS1-00258,44.93,20.6,33,1,6.52
TXS1-00259,39.51,9.71,565,1,7.1
TXS1-00260,17.54,20.09,329,2,30.46
TXS1-00261,28.21,8.76,190,1,4.04
TXS1-00262,13.86,15.47,64,1,12.55
TXS1-00263,17.07,20.98,408,2,37.57
TXS1-00264,84.57,9.72,783,2,4.58
TXS1-00265,13.4,15.23,44,3,1.83
TXS1-00266,35.75,19.98,163,6,6.43
TXS1-00267,52.73,10.88,695,1,3.6
TXS1-00268,64.93,23.01,4,2,0.83
TXS1-00269,16.19,20.42,101,3,20.35
TXS1-00270,40.19,17.17,199,6,7.93
TXS1-00271,39.33,12.2,143,3,9.34
TXS1-00272,18.68,16.6,652,4,0.9
TXS1-00273,31.29,13.04,192,3,6.5
TXS1-00274,72.68,23.4,173,6,9.01
TXS1-00275,48.87,19.83,36,2,2.11
TXS1-00276,48.39,18.93,423,1,4.27
TXS1-00277,280.15,19.31,839,1,2.02
TXS1-00278,31.38,8.81,245,3,76.87
TXS1-00279,10.85,11.49,464,3,3.73
TXS1-00280,59.1,14.13,829,4,5.29
TXS1-00281,33.05,14.0,7,5,3.94
TXS1-00282,21.36,12.25,255,3,6.78
TXS1-00283,25.53,14.44,516,2,0.79
TXS1-00284,17.15,19.75,455,1,16.18
TXS1-00285,36.77,16.95,187,2,11.97
TXS1-00286,21.97,20.27,403,1,20.88
TXS1-00287,20.37,12.56,1545,4,4.52
TXS1-00288,99.68,16.81,1002,2,2.25
TXS1-00289,59.63,21.4,982,4,14.36
TXS1-00290,78.95,21.38,552,4,5.59
TXS1-00291,19.62,17.32,110,1,11.87
TXS1-00292,19.14,11.73,169,1,9.45
TXS1-00293,14.47,15.46,902,2,52.85
TXS1-00294,52.8,10.06,102,5,10.35
TXS1-00295,57.37,17.11,295,2,77.51
TXS1-00296,42.19,19.85,400,1,1.39
TXS1-00297,51.99,14.52,142,4,2.52
TXS1-00298,87.01,12.01,543,1,4.65
TXS1-00299,27.52,12.95,385,6,21.58
TXS1-00300,51.94,15.99,1122,2,3.09
TXS1-00301,19.02,17.69,50,3,1.37
TXS1-00302,12.89,17.16,25,6,30.17
TXS1-00303,35.05,11.95,317,4,11.69
TXS1-00304,5.17,20.64,750,2,28.55
TXS1-00305,54.19,11.03,296,2,9.76
TXS1-00306,55.24,13.21,2199,1,0.7
TXS1-00307,65.55,21.09,200,3,1.21
TXS1-00308,35.88,14.3,118,2,5.51
TXS1-00309,11.46,10.27,51,2,12.26
TXS1-00310,8.5,0.97,775,4,1.05
TXS1-00311,20.89,15.32,422,2,7.33
TXS1-00312,81.41,21.4,126,2,8.58
TXS1-00313,38.31,10.6,10,3,16.83
TXS1-00314,38.42,18.49,141,1,6.31
TXS1-00315,8.95,3.73,432,1,5.59
TXS1-00316,118.26,12.09,1111,1,17.87
TXS1-00317,80.34,15.53,144,2,10.39
TXS1-00318,26.55,14.98,299,4,2.15
TXS1-00319,20.52,20.14,31,1,18.64
TXS1-00320,50.17,20.15,942,3,57.39
TXS1-00321,36.44,12.82,1192,3,15.96
TXS1-00322,17.21,11.8,446,3,2.48
TXS1-00323,17.86,14.81,369,5,1.52
TXS1-00324,20.53,15.08,905,2,9.36
TXS1-00325,80.93,20.74,563,4,5.12
TXS1-00326,16.69,12.44,159,1,5.6
TXS1-00327,47.7,12.67,57,1,24.02
TXS1-00328,73.28,15.42,322,2,5.78
TXS1-00329,34.24,0.61,438,4,33.21
TXS1-00330,19.06,19.52,160,4,43.21
TXS1-00331,20.73,21.2,148,1,19.21
TXS1-00332,58.28,10.76,204,3,1.09
TXS1-00333,10.25,17.22,51,5,6.51
TXS1-00334,82.04,12.55,464,3,4.1
TXS1-00335,143.31,15.33,1163,4,0.77
TXS1-00336,10.51,17.33,881,2,4.76
TXS1-00337,7.07,9.3,8,1,8.32
TXS1-00338,29.64,13.49,141,4,7.02
TXS1-00339,31.88,15.25,14,3,2.39
TXS1-00340,122.83,23.02,598,4,1.25
TXS1-00341,16.92,19.12,51,4,7.18
TXS1-00342,36.01,16.94,572,2,6.12
TXS1-00343,35.66,14.14,309,1,15.65
TXS1-00344,6.88,6.7,281,4,4.1
TXS1-00345,207.23,9.7,1143,2,8.27
TXS1-00346,45.39,19.54,888,2,12.1
TXS1-00347,12.33,18.45,3315,2,1.23
TXS1-00348,12.39,12.27,263,4,13.48
TXS1-00349,42.69,9.62,1573,3,1.84
TXS1-00350,97.37,11.17,679,3,4.28
TXS1-00351,39.71,8.6,280,4,2.1
TXS1-00352,76.97,13.26,485,2,3.24
TXS1-00353,11.29,16.07,562,2,1.69
TXS1-00354,21.05,12.48,808,2,0.65
TXS1-00355,49.92,11.25,423,3,2.02
TXS1-00356,35.32,16.74,101,1,1.07
TXS1-00357,20.56,14.26,470,2,6.77
TXS1-00358,9.24,14.56,693,3,6.26
TXS1-00359,17.42,21.25,882,3,3.85
TXS1-00360,26.15,13.33,304,5,13.44
TXS1-00361,30.0,12.69,156,2,18.71
TXS1-00362,16.4,5.68,277,2,2.75
TXS1-00363,63.18,23.86,288,1,4.93
TXS1-00364,21.01,15.3,145,1,29.58
TXS1-00365,35.91,18.53,626,2,41.62
TXS1-00366,13.49,20.19,773,3,3.86
TXS1-00367,20.97,11.58,381,2,0.9
TXS1-00368,32.75,11.64,189,2,12.35
TXS1-00369,65.78,16.25,57,2,3.15
TXS1-00370,11.45,14.63,159,5,8.11
TXS1-00371,29.12,17.37,353,4,3.92
TXS1-00372,108.96,17.88,1594,2,2.73
TXS1-00373,16.23,15.55,4,3,5.66
TXS1-00374,26.37,11.9,209,2,6.41
TXS1-00375,47.98,15.37,474,2,3.68
TXS1-00376,21.34,11.57,214,3,52.39
TXS1-00377,15.01,21.96,23,4,171.64
TXS1-00378,24.04,16.29,1135,3,2.31
TXS1-00379,26.92,18.83,787,1,15.82
TXS1-00380,74.95,10.95,130,2,8.64
TXS1-00381,219.77,8.63,170,2,1.47
TXS1-00382,21.82,19.56,6,2,2.47
TXS1-00383,39.84,14.59,404,3,0.86
TXS1-00384,28.81,18.4,464,3,0.93
TXS1-00385,37.22,14.5,626,4,1.46
TXS1-00386,60.83,10.14,391,3,3.35
TXS1-00387,57.91,20.83,145,3,0.38
TXS1-00388,16.01,17.47,164,1,16.98
TXS1-00389,37.52,19.53,777,2,39.86
TXS1-00390,27.62,16.81,216,2,4.27
TXS1-00391,20.28,8.98,568,2,1.22
TXS1-00392,71.56,16.28,442,2,3.1
TXS1-00393,13.91,13.24,545,1,9.2
TXS1-00394,32.12,17.8,400,1,8.61
TXS1-00395,33.66,20.38,428,2,12.67
TXS1-00396,22.83,10.83,353,1,9.64
TXS1-00397,17.87,20.4,309,1,12.48
TXS1-00398,15.26,7.11,912,1,6.22
TXS1-00399,36.57,21.42,143,2,33.8
TXS1-00400,13.46,10.11,157,1,10.34
TXS1-00401,52.45,21.68,67,2,2.24
TXS1-00402,51.01,18.96,48,1,11.19
TXS1-00403,72.23,7.36,587,4,5.96
TXS1-00404,26.67,14.66,101,3,10.61
TXS1-00405,48.52,17.04,823,1,12.15
TXS1-00406,56.3,11.59,298,3,9.04
TXS1-00407,49.87,17.83,784,1,2.53
TXS1-00408,39.14,6.99,11,6,1.41
TXS1-00409,86.29,23.83,317,1,9.19
TXS1-00410,51.5,12.86,207,2,0.75
TXS1-00411,34.92,21.35,766,2,1.44
TXS1-00412,33.46,13.99,559,2,11.66
TXS1-00413,20.12,17.12,636,1,4.58
TXS1-00414,48.04,17.42,249,2,6.82
TXS1-00415,68.7,16.17,163,3,1.59
TXS1-00416,35.02,15.02,118,6,13.45
TXS1-00417,25.32,15.73,9,2,5.37
TXS1-00418,60.91,15.88,661,5,2.15
TXS1-00419,9.45,14.74,199,3,8.46
TXS1-00420,60.15,14.53,1459,2,3.4
TXS1-00421,41.28,14.49,557,2,1.83
TXS1-00422,51.2,21.44,49,2,10.62
TXS1-00423,6.99,19.24,163,1,5.96
TXS1-00424,35.02,14.84,341,3,1.58
TXS1-00425,144.87,19.32,2,4,0.94
TXS1-00426,78.59,10.5,89,3,8.63
TXS1-00427,10.3,12.41,618,1,1.63
TXS1-00428,31.12,14.76,572,6,0.69
TXS1-00429,73.83,11.56,189,5,2.18
TXS1-00430,40.95,17.82,21,4,4.99
TXS1-00431,32.78,14.64,113,2,3.32
TXS1-00432,14.09,22.13,289,4,18.21
TXS1-00433,87.69,10.56,970,2,5.01
TXS1-00434,13.22,14.32,267,4,2.1
TXS1-00435,22.58,14.69,235,4,2.72
TXS1-00436,59.94,19.69,369,4,9.03
TXS1-00437,18.0,13.89,296,2,4.12
TXS1-00438,19.77,11.44,150,1,3.25
TXS1-00439,67.28,17.71,118,2,2.81
TXS1-00440,47.53,15.57,1367,3,7.33
TXS1-00441,63.34,9.49,4,1,10.12
TXS1-00442,17.33,21.37,178,3,6.33
TXS1-00443,11.63,7.69,336,2,3.8
TXS1-00444,32.2,9.85,421,3,21.6
TXS1-00445,39.14,17.04,69,2,9.3
TXS1-00446,33.52,18.8,437,4,2.73
TXS1-00447,26.2,8.91,915,2,10.64
TXS1-00448,14.26,20.24,289,2,22.71
TXS1-00449,54.72,20.07,103,2,11.99
TXS1-00450,16.54,19.58,838,3,8.78
TXS1-00451,39.29,17.03,562,3,21.85
TXS1-00452,104.09,19.14,130,5,7.65
TXS1-00453,32.39,8.89,229,3,24.75
TXS1-00454,9.61,16.76,921,5,9.09
TXS1-00455,141.87,20.17,275,3,0.86
TXS1-00456,15.57,20.51,13,5,12.42
TXS1-00457,21.17,21.83,1340,3,10.8
TXS1-00458,45.3,19.24,585,4,0.47
TXS1-00459,100.24,22.32,25,6,35.44
TXS1-00460,49.3,15.95,2115,2,2.72
TXS1-00461,25.29,23.86,465,1,5.6
TXS1-00462,19.67,13.81,46,1,0.84
TXS1-00463,11.79,17.89,721,1,2.34
TXS1-00464,38.75,21.97,344,1,4.68
TXS1-00465,49.77,16.4,875,3,16.92
TXS1-00466,157.01,19.55,34,1,16.79
TXS1-00467,44.34,12.24,405,3,1.36
TXS1-00468,109.11,19.85,423,2,15.06
TXS1-00469,14.99,21.66,379,3,5.75
TXS1-00470,62.47,16.17,426,5,4.29
TXS1-00471,62.31,19.67,139,2,6.78
TXS1-00472,30.22,14.48,225,2,12.63
TXS1-00473,39.11,23.37,949,4,13.1
TXS1-00474,61.39,22.44,16,3,5.33
TXS1-00475,105.69,22.77,634,2,2.7
TXS1-00476,43.59,10.1,180,1,6.9
TXS1-00477,59.05,17.72,1336,7,10.13
TXS1-00478,231.89,12.22,28,6,36.49
TXS1-00479,68.41,21.06,304,3,1.16
TXS1-00480,19.16,22.32,892,3,4.19
TXS1-00481,7.95,12.89,128,3,1.05
TXS1-00482,23.96,15.14,308,4,1.43
TXS1-00483,58.49,9.57,102,3,8.7
TXS1-00484,5.89,15.74,1278,4,5.01
TXS1-00485,67.91,12.52,579,3,45.18
TXS1-00486,51.89,19.44,88,4,5.68
TXS1-00487,38.21,11.38,531,4,9.43
TXS1-00488,27.01,21.55,618,2,68.55
TXS1-00489,75.45,17.45,696,1,1.68
TXS1-00490,48.51,23.21,298,1,6.56
TXS1-00491,12.12,21.06,76,1,2.86
TXS1-00492,19.51,11.89,58,1,5.8
TXS1-00493,85.29,16.92,288,3,5.54
TXS1-00494,39.7,22.23,734,3,2.65
TXS1-00495,10.25,12.71,588,4,2.68
TXS1-00496,10.18,8.25,447,1,24.22
TXS1-00497,127.32,17.61,131,5,14.79
TXS1-00498,17.2,21.39,182,1,10.84
TXS1-00499,15.15,14.61,234,2,2.07
TXS1-00500,9.99,20.32,604,1,2.46
TXS1-00501,36.15,22.25,736,2,8.48
TXS1-00502,107.9,17.94,352,5,0.87
TXS1-00503,92.97,18.68,263,2,30.07
TXS1-00504,97.84,19.25,24,1,3.85
TXS1-00505,36.53,13.89,524,4,7.41
TXS1-00506,33.76,15.45,795,4,12.92
TXS1-00507,44.79,18.74,302,1,6.49
TXS1-00508,22.62,18.83,100,3,39.23
TXS1-00509,19.43,14.31,2772,3,22.38
TXS1-00510,32.96,15.32,686,2,7.27
TXS1-00511,56.34,12.74,456,1,36.93
TXS1-00512,14.11,15.94,301,5,8.38
TXS1-00513,15.93,13.98,660,3,1.22
TXS1-00514,13.33,20.72,171,1,4.7
TXS1-00515,69.17,13.12,411,3,14.15
TXS1-00516,19.04,17.02,89,2,80.55
TXS1-00517,24.51,10.34,539,3,2.37
TXS1-00518,61.49,19.79,331,2,4.31
TXS1-00519,44.22,13.1,423,2,22.51
TXS1-00520,56.56,15.88,388,5,16.9
TXS1-00521,28.61,12.55,679,3,42.34
TXS1-00522,21.23,13.29,340,4,41.52
TXS1-00523,58.6,11.13,553,3,9.65
TXS1-00524,40.97,18.4,51,3,3.49
TXS1-00525,35.29,10.32,48,1,3.86
TXS1-00526,80.65,17.38,175,3,4.3
TXS1-00527,35.2,15.58,338,2,1.63
TXS1-00528,110.02,16.48,132,1,4.5
TXS1-00529,42.34,16.73,597,1,1.89
TXS1-00530,11.56,13.93,2,2,141.52
TXS1-00531,19.0,23.77,571,2,2.3
TXS1-00532,41.53,20.22,102,3,15.9
TXS1-00533,12.47,12.93,136,6,3.42
TXS1-00534,5.7,0.79,33,1,6.79
TXS1-00535,13.26,13.69,657,3,6.36
TXS1-00536,15.09,19.43,307,4,9.11
TXS1-00537,19.53,9.29,445,2,12.86
TXS1-00538,6.16,19.87,131,3,3.54
TXS1-00539,48.21,14.01,1708,3,10.58
TXS1-00540,45.73,4.45,1865,3,14.12
TXS1-00541,19.29,0.2,1818,4,47.57
TXS1-00542,59.95,17.85,823,3,15.77
TXS1-00543,15.25,15.64,1104,1,9.56
TXS1-00544,8.04,15.61,589,3,3.27
TXS1-00545,36.93,13.59,20,1,7.07
TXS1-00546,11.24,18.66,167,4,6.68
TXS1-00547,11.98,11.78,185,4,3.93
TXS1-00548,39.7,22.17,349,4,3.06
TXS1-00549,29.98,16.65,178,2,7.62
TXS1-00550,134.51,0.83,889,5,10.52
TXS1-00551,22.58,18.94,368,2,5.7
TXS1-00552,53.76,12.34,566,4,2.18
TXS1-00553,31.5,13.74,750,3,5.21
TXS1-00554,89.12,17.19,185,5,3.4
TXS1-00555,26.05,12.64,742,2,18.16
TXS1-00556,11.11,20.1,159,3,2.37
TXS1-00557,160.38,9.27,404,2,12.32
TXS1-00558,17.9,13.06,631,5,12.08
TXS1-00559,26.63,16.37,269,3,6.5
TXS1-00560,148.42,22.89,199,3,25.45
TXS1-00561,33.13,1.88,317,4,60.37
TXS1-00562,29.04,10.72,225,2,28.19
TXS1-00563,26.9,13.3,417,2,2.73
TXS1-00564,102.55,21.87,1668,3,8.7
TXS1-00565,70.47,10.61,564,2,1.12
TXS1-00566,28.66,13.84,740,3,3.43
TXS1-00567,16.25,18.39,92,2,8.53
TXS1-00568,24.75,22.01,844,1,4.86
TXS1-00569,8.02,12.99,201,3,3.42
TXS1-00570,36.22,15.07,293,3,6.34
TXS1-00571,12.22,15.47,167,3,1.73
TXS1-00572,24.49,12.15,424,3,5.6
TXS1-00573,115.79,8.4,38,2,4.12
TXS1-00574,27.0,11.92,584,3,34.05
TXS1-00575,8.1,14.31,417,2,15.43
TXS1-00576,59.08,11.51,104,3,2.03
TXS1-00577,38.92,15.72,52,2,3.38
TXS1-00578,32.43,11.55,819,5,2.31
