transaction_id,montant_eur,heure,anciennete_client_j,nb_articles,distance_domicile_km,fraude
TXREF-00077,25.59,14.62,30,4,14.57,0
TXREF-00078,39.02,22.48,66,2,15.32,0
TXREF-00079,54.62,9.82,306,2,5.39,0
TXREF-00080,27.86,9.75,907,3,9.72,0
TXREF-00081,48.37,19.32,423,4,1.96,0
TXREF-00082,21.62,19.19,145,2,4.38,0
TXREF-00083,26.81,15.91,6,3,1.08,0
TXREF-00084,26.45,15.9,427,3,4.57,0
TXREF-00085,14.72,11.09,1213,2,4.93,0
TXREF-00086,49.43,17.22,123,4,1.51,0
TXREF-00087,24.83,16.26,5,1,12.44,1
TXREF-00088,35.13,14.02,400,2,2.78,0
TXREF-00089,49.21,13.5,514,2,0.66,0
TXREF-00090,48.01,11.92,145,2,2.16,0
TXREF-00091,56.21,19.25,256,2,11.6,0
TXREF-00092,32.43,19.18,235,2,0.98,0
TXREF-00093,25.67,17.64,108,2,6.76,0
TXREF-00094,32.87,13.18,702,3,2.3,0
TXREF-00095,10.33,20.92,159,3,2.59,0
TXREF-00096,12.28,10.48,345,4,2.33,0
TXREF-00097,13.43,16.34,87,5,3.25,0
TXREF-00098,16.98,20.83,70,5,3.03,0
TXREF-00099,46.42,16.21,936,2,14.83,0
TXREF-00100,18.14,21.51,640,3,12.53,0
TXREF-00101,26.52,22.3,506,2,14.87,0
TXREF-00102,88.72,23.35,202,4,6.03,0
TXREF-00103,26.94,18.16,302,3,4.99,0
TXREF-00104,59.21,22.62,1107,3,6.96,0
TXREF-00105,17.78,11.45,1668,3,9.98,0
TXREF-00106,30.03,21.57,57,2,5.98,0
TXREF-00107,17.57,15.58,299,2,5.37,0
TXREF-00108,27.27,12.19,94,2,18.89,0
TXREF-00109,63.75,13.35,312,3,5.81,0
TXREF-00110,10.04,15.38,533,1,7.31,0
TXREF-00111,47.6,13.97,756,2,18.33,0
TXREF-00112,41.31,15.11,72,3,49.11,1
TXREF-00113,22.7,19.56,669,4,2.65,0
TXREF-00114,12.29,10.39,662,4,4.49,0
TXREF-00115,36.67,16.06,189,4,15.56,0
TXREF-00116,23.78,13.77,557,4,9.48,0
TXREF-00117,41.16,12.4,269,4,4.46,0
TXREF-00118,35.37,17.43,73,4,76.15,0
TXREF-00119,110.31,9.32,418,5,15.46,0
TXREF-00120,29.3,6.43,96,5,3.21,0
TXREF-00121,16.66,14.72,621,1,2.49,0
TXREF-00122,39.61,13.56,129,2,7.93,0
TXREF-00123,40.79,20.9,2087,2,9.18,0
TXREF-00124,92.63,8.53,209,5,4.75,0
TXREF-00125,63.52,20.18,792,3,6.41,0
TXREF-00126,45.01,20.65,513,3,9.11,0
TXREF-00127,99.84,14.06,583,1,5.35,0
TXREF-00128,14.79,21.02,2,2,6.11,1
TXREF-00129,21.96,17.27,81,6,1.97,0
TXREF-00130,17.87,19.66,282,2,23.24,0
TXREF-00131,26.29,10.22,413,3,2.19,0
TXREF-00132,12.92,23.26,1306,1,28.01,0
TXREF-00133,55.0,15.97,337,1,23.18,0
TXREF-00134,29.67,15.33,432,5,4.01,0
TXREF-00135,12.07,18.0,99,4,29.47,0
TXREF-00136,16.76,8.78,220,6,8.67,0
TXREF-00137,43.63,16.25,449,2,3.06,0
TXREF-00138,63.65,17.17,671,3,10.67,0
TXREF-00139,146.59,17.0,130,5,3.31,0
TXREF-00140,283.72,12.7,539,3,3.99,0
TXREF-00141,46.92,1.02,45,2,4.04,0
TXREF-00142,17.07,11.52,616,3,10.0,0
TXREF-00143,7.5,20.71,1409,2,8.04,0
TXREF-00144,42.21,16.76,1633,2,19.52,0
TXREF-00145,19.39,11.57,378,2,31.87,0
TXREF-00146,25.81,13.23,194,2,10.22,0
TXREF-00147,22.41,20.1,425,4,20.48,0
TXREF-00148,31.46,22.28,126,1,7.23,0
TXREF-00149,75.0,9.84,786,2,3.16,0
TXREF-00150,38.98,20.28,60,3,6.31,0
TXREF-00151,31.06,12.4,450,2,8.72,0
TXREF-00152,16.52,15.06,465,3,31.89,0
TXREF-00153,10.43,8.37,407,3,2.48,0
TXREF-00154,24.53,18.34,243,2,5.37,1
TXREF-00155,33.49,14.53,4,2,7.53,1
TXREF-00156,124.33,12.58,225,1,13.65,0
TXREF-00157,38.24,19.23,283,4,4.76,0
TXREF-00158,70.64,22.89,524,2,3.64,0
TXREF-00159,24.3,4.55,388,3,2.34,0
TXREF-00160,14.83,11.36,33,1,3.24,0
TXREF-00161,17.38,13.62,1106,1,65.35,0
TXREF-00162,20.65,13.58,1255,3,5.15,0
TXREF-00163,161.18,20.36,711,1,33.7,0
TXREF-00164,19.27,12.92,519,3,8.38,0
TXREF-00165,63.67,17.17,34,1,3.68,0
TXREF-00166,18.17,19.8,18,5,30.66,0
TXREF-00167,68.08,20.43,445,3,18.63,0
TXREF-00168,45.93,11.84,471,4,5.82,0
TXREF-00169,31.1,9.89,342,4,1.85,0
TXREF-00170,33.81,16.39,14,3,8.78,0
TXREF-00171,21.73,19.26,216,4,23.57,0
TXREF-00172,48.0,15.75,317,5,19.73,0
TXREF-00173,25.09,17.95,87,4,7.69,0
TXREF-00174,14.4,22.29,101,3,17.87,0
TXREF-00175,13.87,16.68,381,4,3.31,0
TXREF-00176,39.42,20.98,43,6,14.66,0
TXREF-00177,108.52,14.16,276,3,9.19,0
TXREF-00178,39.06,18.38,361,3,6.97,0
TXREF-00179,31.96,19.18,209,2,69.65,0
TXREF-00180,42.77,18.82,752,1,8.91,0
TXREF-00181,89.15,21.97,1242,2,1.14,0
TXREF-00182,40.77,15.07,56,1,15.43,0
TXREF-00183,25.9,12.88,6,4,117.67,0
TXREF-00184,77.21,14.51,4,2,2.02,0
TXREF-00185,47.4,14.68,267,2,8.33,0
TXREF-00186,105.19,20.33,582,6,5.8,0
TXREF-00187,39.72,12.59,23,1,11.82,0
TXREF-00188,14.42,21.91,224,2,3.87,0
TXREF-00189,13.0,18.03,140,3,9.0,0
TXREF-00190,114.28,11.46,342,3,1.57,0
TXREF-00191,120.43,17.24,416,1,21.5,0
TXREF-00192,30.59,21.58,331,5,4.52,0
TXREF-00193,26.42,22.7,460,4,63.45,0
TXREF-00194,99.71,21.1,1008,1,23.19,0
TXREF-00195,15.69,15.85,221,2,3.82,0
TXREF-00196,18.28,9.69,124,1,19.75,0
TXREF-00197,55.32,13.53,932,2,22.78,0
TXREF-00198,26.2,16.07,2017,1,2.0,0
TXREF-00199,34.69,21.72,420,1,2.52,0
TXREF-00200,30.95,22.47,351,2,3.56,0
TXREF-00201,44.39,18.03,324,3,0.61,0
TXREF-00202,95.91,14.83,725,5,9.03,0
TXREF-00203,37.16,13.25,859,2,22.3,0
TXREF-00204,55.35,16.8,185,1,9.31,0
TXREF-00205,7.96,16.9,265,4,14.63,0
TXREF-00206,33.61,21.99,77,4,8.58,0
TXREF-00207,18.97,15.21,1031,1,9.44,0
TXREF-00208,14.48,13.06,246,1,0.64,0
TXREF-00209,18.5,7.57,32,7,15.08,0
TXREF-00210,27.37,15.41,278,4,7.72,0
TXREF-00211,67.32,9.86,252,4,5.97,0
TXREF-00212,13.4,22.83,145,2,3.07,0
TXREF-00213,35.59,22.55,24,2,2.25,0
TXREF-00214,24.57,17.32,419,1,6.15,0
TXREF-00215,27.5,12.61,544,4,8.67,0
TXREF-00216,71.66,17.85,189,2,2.26,0
TXREF-00217,51.29,22.58,589,1,22.82,0
TXREF-00218,91.19,10.56,628,4,2.77,0
TXREF-00219,31.15,15.17,525,7,6.45,0
TXREF-00220,21.09,13.31,1412,3,14.56,0
TXREF-00221,29.63,16.53,11,2,2.18,0
TXREF-00222,41.45,21.46,347,2,0.64,0
TXREF-00223,39.53,14.67,557,3,4.25,0
TXREF-00224,15.95,21.9,1031,2,7.23,0
TXREF-00225,37.16,18.72,390,2,18.18,0
TXREF-00226,41.03,14.6,187,1,4.82,0
TXREF-00227,213.27,8.68,433,3,9.27,0
TXREF-00228,134.47,11.27,211,2,31.52,0
TXREF-00229,18.83,15.47,107,2,2.56,0
TXREF-00230,28.31,12.94,610,2,10.27,0
TXREF-00231,12.14,15.97,190,5,22.09,0
TXREF-00232,22.75,15.36,190,1,2.56,0
TXREF-00233,43.7,9.78,298,2,3.02,0
TXREF-00234,82.95,21.72,792,1,7.82,0
TXREF-00235,20.6,10.02,314,1,1.83,0
TXREF-00236,21.74,11.55,1452,4,1.59,0
TXREF-00237,7.42,14.73,389,1,3.94,0
TXREF-00238,30.97,19.01,291,2,2.16,0
TXREF-00239,16.2,10.79,745,3,3.67,0
TXREF-00240,23.78,14.47,523,3,6.05,0
TXREF-00241,18.52,14.5,255,2,29.11,0
TXREF-00242,32.53,16.1,467,4,10.78,0
TXREF-00243,9.82,22.23,152,2,7.32,0
TXREF-00244,12.11,12.71,904,3,1.37,0
TXREF-00245,161.27,17.24,230,1,0.81,0
TXREF-00246,13.78,18.26,589,2,3.76,0
TXREF-00247,15.8,22.09,573,3,13.1,0
TXREF-00248,130.66,15.61,227,2,44.32,1
TXREF-00249,281.93,14.5,162,4,7.99,0
TXREF-00250,14.98,12.48,199,1,33.62,0
TXREF-00251,26.71,9.33,706,4,2.29,0
TXREF-00252,44.52,13.11,101,4,7.58,0
TXREF-00253,120.86,14.36,789,6,1.23,0
TXREF-00254,17.11,13.65,2045,2,3.11,0
TXREF-00255,29.18,20.87,112,2,22.77,1
TXREF-00256,60.93,9.35,111,3,3.49,0
TXREF-00257,47.61,13.42,117,1,2.42,0
TXREF-00258,26.55,20.54,17,5,1.99,0
TXREF-00259,31.62,17.19,148,3,15.19,0
TXREF-00260,12.94,15.97,35,2,12.82,0
TXREF-00261,29.33,15.25,364,2,6.15,0
TXREF-00262,28.74,12.83,260,2,6.35,0
TXREF-00263,41.15,8.39,145,5,1.24,0
TXREF-00264,23.34,22.5,251,3,2.6,0
TXREF-00265,48.89,6.17,170,2,14.24,0
TXREF-00266,72.18,12.96,141,1,7.26,0
TXREF-00267,38.94,23.37,2,2,6.85,1
TXREF-00268,44.85,12.57,1042,6,12.42,0
TXREF-00269,36.17,20.95,679,4,3.79,0
TXREF-00270,34.82,22.05,259,1,33.87,0
TXREF-00271,20.71,17.3,876,1,1.25,0
TXREF-00272,43.72,0.16,9,3,14.57,1
TXREF-00273,32.46,20.15,279,3,11.93,0
TXREF-00274,157.13,15.98,998,2,8.81,0
TXREF-00275,108.07,10.99,131,5,0.43,0
TXREF-00276,45.96,14.1,34,3,9.74,0
TXREF-00277,20.1,20.4,515,2,3.11,0
TXREF-00278,15.63,12.08,220,4,28.96,0
TXREF-00279,82.07,14.45,363,2,2.17,0
TXREF-00280,42.06,15.01,585,2,12.89,0
TXREF-00281,49.19,10.48,30,2,3.28,0
TXREF-00282,9.91,13.14,1054,2,0.98,0
TXREF-00283,67.88,10.72,1057,3,5.23,0
TXREF-00284,48.29,16.78,21,8,11.94,0
TXREF-00285,15.65,11.09,515,1,4.73,0
TXREF-00286,24.79,14.93,374,2,6.43,0
TXREF-00287,42.09,9.55,270,4,8.68,0
TXREF-00288,36.15,10.37,971,2,11.77,0
TXREF-00289,28.21,10.22,512,3,2.2,0
TXREF-00290,32.31,13.07,328,1,35.78,0
TXREF-00291,29.04,18.61,71,3,2.96,0
TXREF-00292,38.86,15.17,363,1,9.49,0
TXREF-00293,100.43,20.05,451,2,28.03,0
TXREF-00294,5.48,13.46,365,2,2.38,0
TXREF-00295,29.36,11.6,382,4,9.47,0
TXREF-00296,39.53,15.71,782,2,2.97,0
TXREF-00297,43.08,13.14,55,2,1.79,0
TXREF-00298,26.63,13.74,3,2,27.03,0
TXREF-00299,9.83,18.85,52,1,6.25,0
TXREF-00300,44.09,19.52,47,3,4.8,0
TXREF-00301,120.75,9.89,48,2,4.01,0
TXREF-00302,11.54,20.58,199,2,3.94,0
TXREF-00303,64.84,14.34,1071,1,0.94,0
TXREF-00304,27.48,22.12,1274,1,23.66,0
TXREF-00305,33.31,17.82,14,2,12.91,0
TXREF-00306,16.31,23.98,62,2,0.71,0
TXREF-00307,27.36,11.79,2123,1,6.91,0
TXREF-00308,88.77,19.99,204,3,10.98,0
TXREF-00309,52.96,19.37,443,3,7.39,0
TXREF-00310,121.18,21.25,408,5,12.38,0
TXREF-00311,81.27,13.84,1065,3,17.14,0
TXREF-00312,47.76,9.5,93,4,5.54,0
TXREF-00313,122.2,16.36,1474,3,7.86,0
TXREF-00314,47.75,10.86,736,3,3.03,0
TXREF-00315,63.19,12.24,52,3,77.03,0
TXREF-00316,28.12,11.99,67,5,47.29,0
TXREF-00317,36.52,12.4,400,4,2.81,0
TXREF-00318,21.07,12.86,5,4,5.94,0
TXREF-00319,70.99,9.8,432,3,2.45,0
TXREF-00320,14.9,11.75,519,5,25.56,0
TXREF-00321,61.15,20.34,214,2,9.96,0
TXREF-00322,30.35,13.89,148,5,5.71,0
TXREF-00323,80.91,21.62,338,3,15.21,0
TXREF-00324,59.78,6.86,1039,2,2.88,0
TXREF-00325,129.14,17.03,31,3,3.78,1
TXREF-00326,58.92,11.81,910,4,2.54,0
TXREF-00327,11.22,19.05,487,2,21.44,0
TXREF-00328,33.17,14.49,478,1,2.73,0
TXREF-00329,14.97,12.2,848,1,2.16,0
TXREF-00330,23.97,19.47,348,2,16.62,0
TXREF-00331,103.35,20.96,48,1,0.45,0
TXREF-00332,55.09,16.57,73,3,7.4,0
TXREF-00333,21.05,16.76,530,1,9.04,0
TXREF-00334,16.78,19.82,629,4,10.93,0
TXREF-00335,35.64,14.72,1,4,1.6,1
TXREF-00336,14.5,18.33,52,2,13.84,0
TXREF-00337,21.47,18.95,426,3,0.56,0
TXREF-00338,43.58,16.36,533,2,3.69,0
TXREF-00339,79.98,11.98,421,6,4.52,0
TXREF-00340,53.96,12.39,801,3,32.93,0
TXREF-00341,6.69,14.31,330,2,5.38,0
TXREF-00342,43.34,9.94,1305,3,31.6,0
TXREF-00343,36.67,15.05,475,4,11.49,0
TXREF-00344,46.9,13.0,201,2,106.11,1
TXREF-00345,111.46,23.34,360,4,3.73,0
TXREF-00346,7.88,19.32,592,3,4.69,0
TXREF-00347,22.75,12.9,175,4,23.24,0
TXREF-00348,53.27,21.31,882,1,17.36,0
TXREF-00349,11.15,18.86,445,4,15.17,0
TXREF-00350,100.75,18.63,67,3,11.94,1
TXREF-00351,45.39,20.16,265,6,6.4,0
TXREF-00352,64.04,12.23,90,3,1.26,0
TXREF-00353,23.08,21.23,280,2,1.36,0
TXREF-00354,62.55,12.89,847,6,9.48,0
TXREF-00355,75.14,19.8,374,4,1.51,0
TXREF-00356,41.17,14.19,528,1,12.49,0
TXREF-00357,41.21,11.99,310,3,4.96,0
TXREF-00358,42.29,14.03,1364,3,24.2,0
TXREF-00359,18.7,15.48,326,4,11.93,0
TXREF-00360,31.31,10.78,259,4,2.74,0
TXREF-00361,31.19,15.01,230,3,15.43,0
TXREF-00362,45.88,18.49,194,4,12.12,0
TXREF-00363,71.51,17.54,1234,1,7.17,0
TXREF-00364,16.25,15.69,1629,6,16.11,0
TXREF-00365,31.82,21.04,34,4,2.74,0
TXREF-00366,101.15,10.43,7,2,3.31,1
TXREF-00367,20.38,17.63,460,1,2.26,0
TXREF-00368,19.26,16.99,926,2,0.62,0
TXREF-00369,40.27,13.42,619,2,1.36,0
TXREF-00370,63.94,12.79,88,2,4.04,0
TXREF-00371,35.1,23.2,376,2,5.11,0
TXREF-00372,90.64,22.58,1176,1,15.67,0
TXREF-00373,64.51,23.58,105,3,1.18,0
TXREF-00374,63.82,20.55,66,4,2.17,0
TXREF-00375,51.88,21.3,241,1,4.22,0
TXREF-00376,186.03,9.19,217,3,5.31,0
TXREF-00377,30.03,14.48,986,4,12.33,0
TXREF-00378,8.23,15.39,316,3,1.16,0
TXREF-00379,110.51,15.14,660,3,36.48,0
TXREF-00380,25.04,15.42,563,4,4.34,0
TXREF-00381,37.63,17.03,21,3,32.16,0
TXREF-00382,89.38,12.57,299,2,13.97,0
TXREF-00383,10.98,14.28,357,5,1.55,0
TXREF-00384,14.14,13.06,519,1,2.73,0
TXREF-00385,10.99,18.17,181,2,0.46,0
TXREF-00386,19.65,19.26,528,4,1.67,0
TXREF-00387,47.78,10.18,507,1,4.6,0
TXREF-00388,50.78,20.34,184,5,2.91,0
TXREF-00389,42.48,15.82,56,3,1.54,0
TXREF-00390,12.59,17.43,132,4,3.25,0
TXREF-00391,6.6,20.26,126,5,2.53,0
TXREF-00392,36.2,23.18,77,3,2.16,0
TXREF-00393,24.79,18.49,898,1,7.21,0
TXREF-00394,48.46,19.31,428,3,0.85,0
TXREF-00395,57.71,18.69,305,3,14.82,0
TXREF-00396,38.46,16.82,852,3,5.2,0
TXREF-00397,60.18,9.9,206,2,8.94,0
TXREF-00398,41.06,13.97,529,1,4.5,0
TXREF-00399,50.99,14.96,244,2,3.87,0
TXREF-00400,20.96,13.68,114,2,0.89,0
TXREF-00401,30.59,13.88,685,3,117.36,0
TXREF-00402,40.11,20.27,8,1,12.75,1
TXREF-00403,62.85,11.58,84,4,5.16,0
TXREF-00404,26.22,16.56,59,1,10.62,0
TXREF-00405,50.67,15.01,509,5,4.76,0
TXREF-00406,28.75,11.26,180,2,1.77,0
TXREF-00407,31.99,10.55,627,3,1.87,0
TXREF-00408,63.26,18.93,790,1,33.14,0
TXREF-00409,8.29,19.71,120,4,4.7,0
TXREF-00410,13.69,13.8,40,1,15.51,0
TXREF-00411,11.98,11.36,589,1,14.52,0
TXREF-00412,6.49,8.0,193,2,4.59,0
TXREF-00413,21.36,15.38,741,4,5.32,0
TXREF-00414,59.72,22.04,2,4,2.88,1
TXREF-00415,28.36,11.72,320,4,6.59,0
TXREF-00416,40.14,10.92,682,2,16.42,0
TXREF-00417,76.27,13.24,110,2,19.07,1
TXREF-00418,90.55,15.5,1089,1,1.25,0
TXREF-00419,33.12,12.94,189,2,4.08,0
TXREF-00420,92.26,10.2,86,1,1.83,0
TXREF-00421,37.2,13.81,373,2,26.6,0
TXREF-00422,19.05,17.35,558,1,5.93,0
TXREF-00423,22.69,14.13,141,3,9.16,0
TXREF-00424,11.99,20.93,1555,2,6.05,0
TXREF-00425,18.37,12.96,330,3,2.8,0
TXREF-00426,26.9,11.15,604,1,48.74,0
TXREF-00427,62.09,11.05,629,2,23.19,0
TXREF-00428,120.18,22.09,448,7,8.85,0
TXREF-00429,12.87,17.78,308,2,2.08,0
TXREF-00430,46.19,22.38,264,2,4.21,0
TXREF-00431,16.46,20.96,16,3,7.67,0
TXREF-00432,49.0,14.95,71,2,3.95,0
TXREF-00433,31.68,20.44,754,4,2.14,0
TXREF-00434,9.32,11.65,405,2,5.15,0
TXREF-00435,67.92,12.96,21,2,3.55,0
TXREF-00436,22.52,22.74,151,1,0.93,0
TXREF-00437,23.7,22.04,343,2,0.94,0
TXREF-00438,16.12,17.26,538,2,7.12,0
TXREF-00439,21.73,14.54,34,1,6.22,0
TXREF-00440,47.37,18.37,1335,5,12.1,0
TXREF-00441,30.38,17.97,301,3,23.83,0
TXREF-00442,44.11,18.68,367,1,1.0,0
TXREF-00443,45.18,13.29,348,3,2.53,0
TXREF-00444,90.1,13.95,17,4,0.92,0
TXREF-00445,27.2,15.96,54,4,40.72,0
TXREF-00446,12.02,21.08,75,2,5.33,0
TXREF-00447,75.07,13.68,44,2,1.08,0
TXREF-00448,27.42,12.52,282,3,6.67,0
TXREF-00449,77.67,22.23,265,3,1.77,0
TXREF-00450,45.88,9.38,213,2,15.24,0
TXREF-00451,31.68,12.63,793,3,2.71,0
TXREF-00452,44.75,8.1,77,2,4.07,0
TXREF-00453,141.84,19.93,263,5,1.07,0
TXREF-00454,155.31,0.34,649,3,3.11,0
TXREF-00455,36.6,15.08,601,4,4.23,0
TXREF-00456,39.07,21.68,1069,3,6.99,0
TXREF-00457,75.56,17.6,394,1,47.11,0
TXREF-00458,18.94,19.13,782,2,0.19,0
TXREF-00459,44.25,13.78,121,1,11.79,0
TXREF-00460,34.17,19.76,458,3,3.02,0
TXREF-00461,43.64,19.12,95,3,4.22,0
TXREF-00462,19.11,20.63,999,1,2.41,0
TXREF-00463,11.08,22.29,210,3,2.92,0
TXREF-00464,7.83,19.75,1099,3,0.98,0
TXREF-00465,15.57,22.36,155,1,16.74,0
TXREF-00466,25.02,10.16,1251,6,3.88,0
TXREF-00467,28.19,11.48,101,2,44.64,0
TXREF-00468,140.44,15.35,255,2,16.72,0
TXREF-00469,77.19,12.92,32,2,13.92,0
TXREF-00470,17.41,15.74,533,3,89.94,0
TXREF-00471,44.72,12.85,1,5,3.35,0
TXREF-00472,25.97,22.09,625,1,13.99,0
TXREF-00473,28.37,14.03,624,2,0.86,0
TXREF-00474,39.78,21.75,285,2,10.47,0
TXREF-00475,54.37,15.93,6,1,11.89,0
TXREF-00476,27.27,9.68,712,2,15.18,0
TXREF-00477,74.89,20.68,1103,2,2.51,0
TXREF-00478,15.3,17.52,123,2,8.94,0
TXREF-00479,34.97,15.22,211,2,3.38,0
TXREF-00480,225.95,23.2,270,1,3.66,0
TXREF-00481,40.88,18.06,31,2,4.3,0
TXREF-00482,97.7,8.23,291,2,6.94,0
TXREF-00483,37.18,13.87,217,2,7.39,0
TXREF-00484,52.89,18.41,538,3,23.1,0
TXREF-00485,33.42,19.93,1209,3,19.87,0
TXREF-00486,30.79,19.47,232,2,5.21,0
TXREF-00487,19.86,18.23,136,3,12.46,0
TXREF-00488,47.46,16.98,713,1,7.31,0
TXREF-00489,18.86,17.79,31,2,2.85,0
TXREF-00490,56.22,18.87,960,2,5.41,0
TXREF-00491,76.05,18.98,859,2,10.74,0
TXREF-00492,45.33,13.32,83,2,18.55,0
TXREF-00493,28.33,14.45,71,2,8.86,0
TXREF-00494,48.27,6.28,661,1,16.17,0
TXREF-00495,27.88,14.9,99,2,18.24,0
TXREF-00496,68.28,16.31,146,4,12.74,0
TXREF-00497,9.31,21.8,166,2,5.29,0
TXREF-00498,27.34,15.1,374,2,5.13,0
TXREF-00499,8.3,13.86,960,3,2.76,0
TXREF-00500,11.86,7.61,127,3,10.75,0
TXREF-00501,92.94,19.32,1184,2,1.24,0
TXREF-00502,66.32,12.82,428,1,39.18,0
TXREF-00503,20.74,12.02,307,6,5.17,0
TXREF-00504,11.8,18.35,309,1,1.54,0
TXREF-00505,4.12,20.61,529,1,16.53,0
TXREF-00506,23.54,14.87,731,2,2.99,0
TXREF-00507,198.88,16.46,120,4,7.56,0
TXREF-00508,47.61,10.3,140,1,2.06,0
TXREF-00509,23.27,13.74,228,1,2.74,0
TXREF-00510,48.66,20.58,824,1,25.85,0
TXREF-00511,11.31,11.83,419,2,4.92,0
TXREF-00512,28.1,10.81,162,4,10.67,0
TXREF-00513,37.4,14.25,208,1,6.23,0
TXREF-00514,32.72,14.33,749,3,5.33,0
TXREF-00515,61.52,19.84,75,4,3.09,0
TXREF-00516,44.62,9.59,235,6,1.59,0
TXREF-00517,56.33,5.84,37,3,9.84,0
TXREF-00518,21.21,16.95,94,2,6.5,0
TXREF-00519,66.45,10.53,105,5,3.45,0
TXREF-00520,112.49,12.05,599,4,4.07,0
TXREF-00521,17.31,7.01,731,2,22.71,0
TXREF-00522,18.37,21.39,1024,2,13.88,0
TXREF-00523,91.08,15.12,1284,1,7.8,0
TXREF-00524,30.33,14.99,253,3,2.52,0
TXREF-00525,95.66,14.97,28,2,9.33,0
TXREF-00526,25.31,7.41,190,4,2.77,0
TXREF-00527,99.25,21.63,601,2,3.99,0
TXREF-00528,38.27,12.55,267,1,26.29,0
TXREF-00529,41.93,11.6,106,4,1.89,0
TXREF-00530,107.4,13.13,8,3,3.15,1
TXREF-00531,26.83,14.79,330,4,13.36,0
TXREF-00532,17.68,17.22,853,1,20.11,0
TXREF-00533,25.2,9.26,1794,4,2.39,0
